"ART_CODIGO";"ART_PROV";"ART_SUSTITUTO";"ART_LINEA";"ART_MARCA";"ART_GRUPO";"ART_IMPU";"ART_CODIGO_FABRICA";"ART_DESC";"ART_DESC_ABREV";"ART_UNID_MED";"ART_TIPO";"ART_EMPAQUE";"ART_CONTENIDO";"ART_DATOS_TEC";"ART_FACTOR_CONVERSION";"ART_EST";"ART_COD_ESTADISTICA";"ART_TIPO_COMISION";"ART_IND_IMP";"ART_CUAD_DEMO";"ART_RUBRO";"ART_IND_EN_LINEA";"ART_IND_CON_ROTACION";"ART_COD_ALFANUMERICO";"ART_PAIS";"ART_MINIMO_EXIGIDO_PROV";"ART_SECUENCIA";"ART_KG_UNID";"ART_KG_CONTENIDO";"ART_COLOR";"ART_NRO_MOTOR";"ART_NRO_CHASSIS";"ART_MODELO";"ART_CLAS_SUBGRUPO";"ART_CLASIFICACION";"ART_DPTO";"ART_SECCION";"ART_SECTOR";"ART_MAX_PORC_DCTO_VTA";"ART_M3_CAJA";"ART_CATEG_INDICES";"ART_MAX_PORC_DCTO";"ART_IND_MAX_POR_GRART";"ART_PRECIO_METRO_LINEAL";"ART_IND_COSTO";"ART_IND_M";"ART_IND_P";"ART_IND_V";"ART_IND_E";"ART_PORC_FIJO"
"11472";"183";"";"1";"1";"54";"1";"";"GRIFO P/BIDET DELTA";"GRIFO P/BIDET DELTA";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"GPBD";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11473";"257";"";"4";"1";"121";"2";"";"BATERIA ORION FREE 70A";"BATERIA ORION FREE 70A";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"70A11473";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11474";"1566";"";"1";"1";"67";"2";"";"FOCO OSRAM HALOG 75W";"FOCO OSRAM HALOG 75W";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"64450S";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11475";"392";"";"4";"1";"100";"2";"";"MT MANGUERA VERDE AFA 3/4";"MT MANGUERA VERDE AFA 3/4";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"MV3/4";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11476";"1554";"";"4";"1";"64";"2";"";"ROLLO PAPEL 300MT PY PROD";"ROLLO PAPEL 300MT PY PROD";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"300M";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11477";"43";"";"14";"1";"53";"2";"";"PINT.RURAL NAR.JACTO 0.900L";"PINT.RURAL NAR.JACTO";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"02.00.8313011477";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11478";"35";"";"1";"1";"60";"2";"";"REACTANCIA TYPICAL 20W";"REACTANCIA TYPICAL 2";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"RT20";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11479";"440";"";"4";"1";"64";"2";"";"PISTOLA INFLADOR NEUMAT. TG-7";"PISTOLA INFLADOR NEUMAT. TG-7";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"TG-7";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11480";"923";"";"4";"1";"64";"2";"";"CARAMBA MUNDIAL PRIME 300ML";"CARAMBA MUNDIAL PRIME 300ML";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"CD300ML";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11481";"982";"";"1";"1";"153";"2";"";"LADRILLOS PRENSADO COLORADO";"LADRILLOS PRENSADO COLORADO";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"LPCO";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
